rank	id	title	score	year	genre	imdb
59	tt0113451	Jade	4.9	1995	action, crime, drama, thriller	http://www.imdb.com/title/tt0113451/
60	tt0084445	One from the Heart	6.3	1982	musical, romance	http://www.imdb.com/title/tt0084445/
61	tt0089913	Revolution	4.9	1985	adventure, drama, history, war	http://www.imdb.com/title/tt0089913/
62	tt0208988	Get Carter	4.8	2000	action, crime, drama, thriller	http://www.imdb.com/title/tt0208988/
63	tt0111756	Wyatt Earp	6.5	1994	action, adventure, biography, romance, western	http://www.imdb.com/title/tt0111756/
64	tt0103594	1492: Conquest of Paradise	6.3	1992	adventure, biography, drama, history	http://www.imdb.com/title/tt0103594/
65	tt0279111	Gods and Generals	6.1	2003	drama, history, war	http://www.imdb.com/title/tt0279111/
66	tt0272020	The Last Castle	6.7	2001	action, drama, thriller	http://www.imdb.com/title/tt0272020/
67	tt0093072	The Garbage Pail Kids Movie	2.6	1987	adventure, musical, comedy, family, sci_fi	http://www.imdb.com/title/tt0093072/
68	tt0119592	Mad City	6.1	1997	drama, thriller	http://www.imdb.com/title/tt0119592/
69	tt0246894	Rollerball	2.9	2002	action, sci_fi, sport	http://www.imdb.com/title/tt0246894/
70	tt0233142	3000 Miles to Graceland	5.8	2001	action, comedy, crime, thriller	http://www.imdb.com/title/tt0233142/
71	tt0099747	Havana	5.8	1990	drama, romance, war	http://www.imdb.com/title/tt0099747/
72	tt0082525	Honky Tonk Freeway	4.8	1981	action, comedy	http://www.imdb.com/title/tt0082525/
73	tt0120751	Mighty Joe Young	5.4	1998	action, adventure, family, fantasy, sci_fi, thriller	http://www.imdb.com/title/tt0120751/
74	tt0120716	Jakob the Liar	6.1	1999	comedy, drama, war	http://www.imdb.com/title/tt0120716/
75	tt0099165	The Bonfire of the Vanities	5.3	1990	comedy, drama	http://www.imdb.com/title/tt0099165/
76	tt0146984	The Legend of Bagger Vance	6.5	2000	drama, fantasy, sport	http://www.imdb.com/title/tt0146984/
77	tt0114345	The Scarlet Letter	4.8	1995	drama, romance	http://www.imdb.com/title/tt0114345/
78	tt0107151	The House of the Spirits	6.5	1993	drama, romance	http://www.imdb.com/title/tt0107151/
79	tt0116277	The Fan	5.7	1996	drama, sport, thriller	http://www.imdb.com/title/tt0116277/
80	tt0102558	Nothing But Trouble	4.4	1991	adventure, comedy, horror	http://www.imdb.com/title/tt0102558/
81	tt0266452	Death to Smoochy	6.2	2002	comedy, crime, drama, thriller	http://www.imdb.com/title/tt0266452/
82	tt0139668	True Crime	6.5	1999	crime, drama, mystery, thriller	http://www.imdb.com/title/tt0139668/
83	tt0765476	Meet Dave	4.8	2008	adventure, comedy, family, romance, sci_fi	http://www.imdb.com/title/tt0765476/
84	tt0163988	Bringing Out the Dead	6.8	1999	drama, thriller	http://www.imdb.com/title/tt0163988/
85	tt0066090	The Molly Maguires	6.8	1970	drama, history	http://www.imdb.com/title/tt0066090/
86	tt0103962	Christopher Columbus: The Discovery	4.2	1992	adventure, biography, drama, history	http://www.imdb.com/title/tt0103962/
87	tt0405676	All the King's Men	6	2006	drama, thriller	http://www.imdb.com/title/tt0405676/
88	tt0338216	Lucky You	5.8	2007	drama, romance, sport	http://www.imdb.com/title/tt0338216/
89	tt0134154	Ride with the Devil	6.6	1999	drama, romance, war, western	http://www.imdb.com/title/tt0134154/
90	tt0114558	Strange Days	7.1	1995	crime, drama, mystery, sci_fi, thriller	http://www.imdb.com/title/tt0114558/
91	tt0298814	The Core	5.3	2003	action, adventure, sci_fi, thriller	http://www.imdb.com/title/tt0298814/
92	tt0120913	Titan A.E.	6.5	2000	animation, action, adventure, family, sci_fi	http://www.imdb.com/title/tt0120913/
93	tt0132245	Driven	4.3	2001	action, drama, sport	http://www.imdb.com/title/tt0132245/
94	tt0110687	North	4.2	1994	adventure, comedy, drama, family, fantasy	http://www.imdb.com/title/tt0110687/
95	tt0297181	I Spy	5.2	2002	action, adventure, comedy, thriller	http://www.imdb.com/title/tt0297181/
96	tt0080492	Can't Stop the Music	3.7	1980	music, musical	http://www.imdb.com/title/tt0080492/
97	tt0362165	Son of the Mask	2.1	2005	adventure, comedy, family, fantasy	http://www.imdb.com/title/tt0362165/
98	tt0117002	Mary Reilly	5.6	1996	drama, horror, romance, thriller	http://www.imdb.com/title/tt0117002/
99	tt0446029	Scott Pilgrim vs. the World	7.5	2010	action, comedy, fantasy, romance	http://www.imdb.com/title/tt0446029/
100	tt0383222	BloodRayne	2.8	2005	action, adventure, fantasy, horror	http://www.imdb.com/title/tt0383222/
101	tt0245803	Bulletproof Monk	5.3	2003	action, comedy, fantasy	http://www.imdb.com/title/tt0245803/
102	tt0371257	Stay	6.7	2005	drama, mystery, thriller	http://www.imdb.com/title/tt0371257/
103	tt0202470	Rock Star	5.9	2001	comedy, drama, music	http://www.imdb.com/title/tt0202470/
104	tt0132512	At First Sight	5.7	1999	drama, romance	http://www.imdb.com/title/tt0132512/
105	tt0193560	Texas Rangers	5	2001	action, adventure, drama, thriller, western	http://www.imdb.com/title/tt0193560/
106	tt0454824	Flyboys	6.4	2006	action, adventure, drama, history, romance, war	http://www.imdb.com/title/tt0454824/
107	tt0120757	The Mod Squad	4	1999	action, crime, thriller	http://www.imdb.com/title/tt0120757/
108	tt0125664	Man on the Moon	7.4	1999	biography, comedy, drama	http://www.imdb.com/title/tt0125664/
109	tt0132347	Mystery Men	5.9	1999	action, comedy, fantasy, sci_fi	http://www.imdb.com/title/tt0132347/
110	tt0119214	Gone Fishin'	4.2	1997	comedy, crime	http://www.imdb.com/title/tt0119214/
111	tt0070337	Lost Horizon	4.7	1973	fantasy, musical, adventure, drama, romance	http://www.imdb.com/title/tt0070337/
112	tt0079550	Meteor	4.8	1979	action, drama, sci_fi, thriller	http://www.imdb.com/title/tt0079550/
113	tt0462465	Outlander	6.2	2008	action, adventure, sci_fi	http://www.imdb.com/title/tt0462465/
114	tt0088206	Supergirl	4.2	1984	action, adventure, fantasy, sci_fi	http://www.imdb.com/title/tt0088206/
115	tt0318155	Looney Tunes: Back in Action	5.7	2003	animation, adventure, comedy, family	http://www.imdb.com/title/tt0318155/
116	tt0150216	Cradle Will Rock	6.7	1999	drama	http://www.imdb.com/title/tt0150216/
117	tt0300556	Timeline	5.4	2003	action, adventure, sci_fi	http://www.imdb.com/title/tt0300556/
118	tt0268995	The Majestic	6.8	2001	drama	http://www.imdb.com/title/tt0268995/
119	tt0074225	The Blue Bird	5	1976	adventure, drama, family, fantasy, mystery, thriller	http://www.imdb.com/title/tt0074225/
120	tt0406375	Zathura: A Space Adventure	6.1	2005	action, adventure, comedy, family, fantasy, sci_fi	http://www.imdb.com/title/tt0406375/
121	tt0118956	Deep Rising	5.8	1998	action, adventure, horror, sci_fi	http://www.imdb.com/title/tt0118956/
122	tt0104740	Little Nemo: Adventures in Slumberland	7	1989	family, animation, adventure, drama, fantasy	http://www.imdb.com/title/tt0104740/
