position	rank	score	title	year	genre	mpaa	imdb
1		98.60000005	The Memory of Justice (German-U.S.)	1976	Documentary	PG	http://www.imdb.com/title/tt0074891/
2		98.40000041	Berlin Alexanderplatz (German)	1980	Drama	N/A	http://www.imdb.com/title/tt0080196/
3	1	98.2681148	The Godfather, Part II	1974	Crime Drama	R	http://www.imdb.com/title/tt0071562/
4	2	97.8980965	Casablanca	1942	Drama	PG	http://us.imdb.com/title/tt0034583/
5	3	97.89114356	Schindler's List	1993	War Drama	R	http://www.imdb.com/title/tt0108052/
6	4	97.88010461	One Flew Over the Cuckoo's Nest	1975	Comedy-Drama	R	http://us.imdb.com/title/tt0073486/
7	5	97.70215259	The Empire Strikes Back	1980	Science Fiction	PG	http://www.imdb.com/title/tt0080684/
8		97.67409173	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (British)	1964	Comedy	PG	http://www.imdb.com/title/tt0057012/
9	6	97.65806132	Rear Window	1954	Suspense	PG	http://us.imdb.com/title/tt0047396/
10	7	97.64013117	Raiders of the Lost Ark	1981	Adventure	PG	http://us.imdb.com/title/tt0082971/
11		97.60005242	The Seven Samurai (Japanese)	1954	Action	N/A	http://www.imdb.com/title/tt0047478/
12		97.60000105	Sansho the Bailiff (Japanese)	1954	Drama	N/A	http://www.imdb.com/title/tt0047445/
13	8	97.49908467	Citizen Kane	1941	Drama	PG	http://www.imdb.com/title/tt0033467/
14		97.49504511	Lawrence of Arabia (British)	1962	Biography	PG	http://www.imdb.com/title/tt0056172/
15	9	97.4890585	It's a Wonderful Life	1946	Fantasy	N/A	http://www.imdb.com/title/tt0038650/
16	10	97.48802616	Sunset Blvd.	1950	Drama	N/A	http://us.imdb.com/title/tt0043014/
17	11	97.48207708	Psycho	1960	Thriller	R	http://www.imdb.com/title/tt0054215/
18	12	97.46005169	North by Northwest	1959	Suspense	N/A	http://www.imdb.com/title/tt0053125/
19	13	97.40004702	12 Angry Men	1957	Crime Drama	N/A	http://us.imdb.com/title/tt0050083/
20		97.4000014	The Shop on Main Street (Czech)	1965	Drama	N/A	http://www.imdb.com/title/tt0059527/
21	14	97.40000071	The Big Parade (Silent)	1925	War Drama	N/A	http://www.imdb.com/title/tt0015624/
22		97.4000006	The Sorrow and the Pity (Swiss)	1969	Documentary	N/A	http://www.imdb.com/title/tt0066904/
23	15	97.40000022	The Last Command (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019071/
24		97.24302359	The Third Man (British)	1949	Thriller	N/A	http://us.imdb.com/title/tt0041959/
25	16	97.2390425	Vertigo	1958	Mystery	PG	http://www.imdb.com/title/tt0052357/
26	17	97.2240085	City Lights (Silent)	1931	Comedy-Drama	N/A	http://www.imdb.com/title/tt0021749/
27	18	97.21901128	Modern Times (Silent)	1936	Comedy	N/A	http://us.imdb.com/title/tt0027977/
28	19	97.20001889	Paths of Glory	1957	War Drama	N/A	http://us.imdb.com/title/tt0050825/
29		97.20000146	Napoleon (French Silent)	1927	Biography	G	http://www.imdb.com/title/tt0018192/
30		97.2000005	War and Peace (Russian)	1968	Drama	N/A	http://www.imdb.com/title/tt0063794/
31		97.20000042	Shoeshine (Itialian)	1946	Drama	N/A	http://www.imdb.com/title/tt0038913/
32	20	97.09002584	Singin' In The Rain	1952	Musical	G	http://us.imdb.com/title/tt0045152/
33		97.08702804	The Bridge on the River Kwai (British)	1957	War Drama	PG	http://www.imdb.com/title/tt0050212/
34	21	97.08602733	Some Like It Hot	1959	Comedy	PG	http://www.imdb.com/title/tt0053291/
35	22	97.08401646	All About Eve	1950	Drama	N/A	http://www.imdb.com/title/tt0042192/
36	23	97.08102791	Chinatown	1974	Mystery	R	http://us.imdb.com/title/tt0071315/
37	24	97.07702088	The Maltese Falcon	1941	Mystery	N/A	http://us.imdb.com/title/tt0033870/
38	25	97.07602952	Raging Bull	1980	Biography	R	http://us.imdb.com/title/tt0081398/
39	26	97.07101251	Mr. Smith Goes to Washington	1939	Drama	N/A	http://www.imdb.com/title/tt0031679/
40	27	97.07001134	The Treasure of the Sierra Madre	1948	Western	N/A	http://us.imdb.com/title/tt0040897/
41	28	97.0630067	The Best Years of Our Lives	1946	Drama	N/A	http://www.imdb.com/title/tt0036868/
42	29	97.06201496	Double Indemnity	1944	Crime Drama	N/A	http://www.imdb.com/title/tt0036775/
43	30	97.00701217	The Apartment	1960	Comedy-Drama	N/A	http://www.imdb.com/title/tt0053604/
44	31	97.00300094	The Wind (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019585/
45		97.00001312	M (German)	1931	Crime Drama	N/A	http://www.imdb.com/title/tt0022100/
46		97.00001307	Metropolis (German Silent)	1926	Fantasy	N/A	http://www.imdb.com/title/tt0017136/
47		97.00001285	Rashomon (Japanese)	1950	Crime Drama	N/A	http://www.imdb.com/title/tt0042876/
48	32	97.0000072	The General (Silent)	1927	Comedy	N/A	http://www.imdb.com/title/tt0017925/
49		97.00000057	Olympia (German)	1936	Documentary	N/A	http://www.imdb.com/title/tt0030522/
50	33	97.00000007	Ten from Your Show of Shows	1973	Comedy	G	http://www.imdb.com/title/tt0069663/
51	34	96.89201687	On the Waterfront	1954	Drama	N/A	http://www.imdb.com/title/tt0047296/
52		96.87806924	2001: A Space Odyssey (British)	1968	Science Fiction	G	http://www.imdb.com/title/tt0062622/
53	35	96.86902334	Annie Hall	1977	Comedy	PG	http://us.imdb.com/title/tt0075686/
54	36	96.86701344	High Noon	1952	Western	N/A	http://us.imdb.com/title/tt0044706/
55	37	96.86500858	It Happened One Night	1934	Comedy	N/A	http://us.imdb.com/title/tt0025316/
56	38	96.81501069	Duck Soup	1933	Comedy	N/A	http://www.imdb.com/title/tt0023969/
57	39	96.80001265	Touch of Evil	1958	Crime Drama	PG-13	http://us.imdb.com/title/tt0052311/
58	40	96.80001081	The Big Sleep	1946	Mystery	N/A	http://www.imdb.com/title/tt0038355/
59		96.80001072	The Seventh Seal (Swedish)	1957	Fantasy	N/A	http://www.imdb.com/title/tt0050976/
60		96.80000811	The Bicycle Thief (Italian)	1947	Drama	N/A	http://us.imdb.com/title/tt0040522/
61		96.80000587	Wild Strawberries (Swedish)	1957	Drama	N/A	http://us.imdb.com/title/tt0050986/
62		96.80000476	Ikiru (Japanese)	1952	Western	N/A	http://us.imdb.com/title/tt0044741/
63		96.80000394	The Passion of Joan of Arc (French Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019254/
64	41	96.80000202	Sherlock, Jr. (Silent)	1924	Fantasy	N/A	http://www.imdb.com/title/tt0015324/
65	42	96.80000175	Greed (Silent)	1924	Drama	N/A	http://www.imdb.com/title/tt0015881/
66		96.8000014	The Life and Death of Colonel Blimp (British)	1943	Drama	N/A	http://www.imdb.com/title/tt0036112/
67	43	96.80000108	The Crowd (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0018806/
68		96.80000065	Shame (Swedish)	1968	Drama	R	http://www.imdb.com/title/tt0063611/
69		96.80000062	Die Nibelungen: Siegfried (German Silent)	1924	Fantasy	N/A	http://www.imdb.com/title/tt0015175/
70	44	96.80000037	The Kid Brother (Silent)	1927	Comedy	N/A	http://www.imdb.com/title/tt0018051/
71		96.80000026	La Traviata (Italian)	1982	Opera	G	http://www.imdb.com/title/tt0084821/
72	45	96.80000018	Counsellor-at-Law	1933	Drama	N/A	http://www.imdb.com/title/tt0023911/
73	46	96.70201153	Strangers on a Train	1951	Suspense	PG	http://us.imdb.com/title/tt0044079/
74		96.70200295	Brief Encounter (British)	1945	Drama	N/A	http://www.imdb.com/title/tt0037558/
75	47	96.69405473	The Wizard of Oz	1939	Musical	G	http://www.imdb.com/title/tt0032138/
76	48	96.69302979	It Happened One Night	1967	Comedy-Drama	R	http://us.imdb.com/title/tt0061722/
77	49	96.67900848	The Grapes of Wrath	1940	Drama	N/A	http://www.imdb.com/title/tt0032551/
78	50	96.65205114	Jaws	1975	Adventure	PG	http://www.imdb.com/title/tt0073195/
79	51	96.65002181	Butch Cassidy and the Sundance Kid	1969	Western	PG	http://us.imdb.com/title/tt0064115/
80	52	96.64600748	All Quiet on the Western Front	1930	War Drama	N/A	http://www.imdb.com/title/tt0020629/
81	53	96.62600698	The Gold Rush (Silent)	1925	Comedy	N/A	http://www.imdb.com/title/tt0015864/
82	54	96.61101556	Patton	1970	Biography	M/PG	http://us.imdb.com/title/tt0066206/
83	55	96.60301003	Bringing Up Baby	1938	Comedy	N/A	http://www.imdb.com/title/tt0029947/
84		96.60300261	Stairway to Heaven (British)	1946	Fantasy	PG	http://www.imdb.com/title/tt0038733/
85	56	96.60002202	The Great Escape	1963	Adventure	N/A	http://www.imdb.com/title/tt0057115/
86		96.60001461	Yojimbo (Japanese)	1961	Action	N/A	http://www.imdb.com/title/tt0055630/
87	57	96.60001233	Rebecca	1940	Mystery	N/A	http://www.imdb.com/title/tt0032976/
88	58	96.60000805	The Adventures of Robin Hood	1938	Adventure	PG	http://www.imdb.com/title/tt0029843/
89	59	96.6000073	His Girl Friday	1940	Comedy	N/A	http://www.imdb.com/title/tt0032599/
90		96.60000716	The Four Hundred Blows (French)	1959	Crime Drama	N/A	http://www.imdb.com/title/tt0053198/
91		96.60000361	Children of Paradise (French)	1945	Drama	N/A	http://www.imdb.com/title/tt0037674/
92	60	96.60000328	Sunrise: A Song of Two Humans (Silent)	1927	Crime Drama	N/A	http://www.imdb.com/title/tt0018455/
93	61	96.60000072	Dodsworth	1936	Drama	N/A	http://www.imdb.com/title/tt0027532/
94		96.60000044	The Tree of Wooden Clogs (Italian)	1978	Drama	N/A	http://www.imdb.com/title/tt0077138/
95		96.60000037	La Chienne (French)	1931	Drama	N/A	http://www.imdb.com/title/tt0021739/
96		96.60000037	Man of Marble (Polish)	1977	Drama	N/A	http://www.imdb.com/title/tt0075902/
97	62	96.60000036	Love Me Tonight	1932	Musical	N/A	http://www.imdb.com/title/tt0023158/
98	63	96.60000021	The Wedding March (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0019558/
99	64	96.60000007	The Weavers: Wasn't That a Time!	1982	Documentary	PG	http://www.imdb.com/title/tt0084894/
100	65	96.50200897	The Hustler	1961	Drama	N/A	http://www.imdb.com/title/tt0054997/
101	66	96.50200515	Laura	1944	Mystery	N/A	http://www.imdb.com/title/tt0037008/
102	67	96.50200323	Sullivan's Travels	1941	Comedy	N/A	http://us.imdb.com/title/tt0034240/
103	68	96.4960311	Gone With the Wind	1939	Drama	G	http://www.imdb.com/title/tt0031381/
104	69	96.48301466	The African Queen	1951	Adventure	N/A	http://www.imdb.com/title/tt0043265/
105	70	96.45501053	A Streetcar Named Desire	1951	Drama	PG	http://www.imdb.com/title/tt0044081/
106	71	96.44901328	The Philadelphia Story	1940	Comedy	N/A	http://us.imdb.com/title/tt0032904/
107	72	96.4210307	The Deer Hunter	1978	War Drama	R	http://us.imdb.com/title/tt0077416/
108	73	96.42001564	The Wild Bunch	1969	Western	R	http://www.imdb.com/title/tt0065214/
109	74	96.404011	The Searchers	1956	Western	N/A	http://us.imdb.com/title/tt0049730/
110		96.40001408	Talk to Her (Spanish)	2002	Drama	R	http://www.imdb.com/title/tt0287467/
111		96.40000881	8ﾽ (Italian)	1963	Drama	N/A	http://www.imdb.com/title/tt0056801/
112	75	96.40000773	Stalag 17	1953	War Drama	N/A	http://us.imdb.com/title/tt0046359/
113	76	96.4000065	A Night at the Opera	1935	Comedy	R	http://www.imdb.com/title/tt0026778/
114		96.4000055	La Strada (Italian)	1954	Drama	N/A	http://www.imdb.com/title/tt0047528/
115		96.40000543	Grand Illusion (French)	1937	War Drama	N/A	http://www.imdb.com/title/tt0028950/
116		96.40000489	Fanny and Alexander (Swedish)	1982	Drama	R	http://www.imdb.com/title/tt0083922/
117	77	96.40000417	Red River	1948	Western	N/A	http://www.imdb.com/title/tt0040724/
118	78	96.40000379	Judgment at Nuremberg	1961	Drama	N/A	http://www.imdb.com/title/tt0055031/
119		96.40000344	Andrei Roublev (Russian)	1966	Biography	N/A	http://www.imdb.com/title/tt0060107/
120		96.40000257	Beauty and the Beast (French)	1946	Fantasy	N/A	http://www.imdb.com/title/tt0038348/
121		96.4000025	Nights of Cabiria (Italian)	1957	Drama	N/A	http://www.imdb.com/title/tt0050783/
122		96.40000228	Tokyo Story (Japanese)	1953	Drama	N/A	http://www.imdb.com/title/tt0046438/
123		96.40000148	Umberto D (Italian)	1952	Drama	N/A	http://www.imdb.com/title/tt0045274/
124	79	96.40000141	Trouble in Paradise	1932	Comedy	N/A	http://www.imdb.com/title/tt0023622/
125		96.40000039	A Day in the Country (French)	1946	Drama	N/A	http://www.imdb.com/title/tt0028445/
126		96.4000001	Quartet (British)	1948	Drama	N/A	http://www.imdb.com/title/tt0040335/
127		96.40000005	Un Carnet de Bal (French)	1937	Drama	N/A	http://www.imdb.com/title/tt0029706/
128	80	96.30201113	The Conversation	1974	Crime Drama	PG	http://www.imdb.com/title/tt0071360/
129	81	96.30200796	The Man Who Shot Liberty Valance	1962	Western	N/A	http://us.imdb.com/title/tt0056217/
130	82	96.30200291	The Lost Weekend	1945	Drama	N/A	http://us.imdb.com/title/tt0037884/
131	83	96.30200224	The Red Shoes	1948	Drama	N/A	http://www.imdb.com/title/tt0040725/
132	84	96.30200135	I Am a Fugitive from a Chain Gang	1932	Crime Drama	N/A	http://www.imdb.com/title/tt0023042/
133	85	96.23700601	Stagecoach	1939	Western	N/A	http://us.imdb.com/title/tt0031971/
134	86	96.23401036	Network	1976	Drama	R	http://www.imdb.com/title/tt0074958/
135	87	96.20302343	Glory	1989	War Drama	R	http://www.imdb.com/title/tt0097441/
136	88	96.20301095	The Day the Earth Stood Still	1951	Science Fiction	G	http://www.imdb.com/title/tt0043456/
137	89	96.20300797	Witness for the Prosecution	1957	Mystery	N/A	http://us.imdb.com/title/tt0051201/
138		96.20300635	The Lion in Winter (British)	1968	Drama	PG	http://www.imdb.com/title/tt0063227/
139		96.20000571	Laputa: Castle in the Sky (Japanese)	1986	Fantasy	N/A	http://www.imdb.com/title/tt0092067/
140	90	96.20000517	Bride of Frankenstein	1935	Horror	N/A	http://www.imdb.com/title/tt0026138/
141	91	96.20000505	Sleuth	1972	Mystery	PG	http://www.imdb.com/title/tt0069281/
142		96.20000484	The Lady Vanishes (British)	1938	Mystery	N/A	http://www.imdb.com/title/tt0030341/
143		96.20000467	Raise the Red Lantern (China-Taiwan-Hong Kong)	1991	Drama	PG	http://www.imdb.com/title/tt0101640/
144		96.20000368	Throne of Blood (Japanese)	1957	Adventure	N/A	http://www.imdb.com/title/tt0050613/
145		96.20000301	Rules of the Game (French)	1939	Comedy-Drama	N/A	http://www.imdb.com/title/tt0031885/
146	92	96.20000214	The Ox-Bow Incident	1943	Western	N/A	http://us.imdb.com/title/tt0036244/
147	93	96.20000147	The Heiress	1949	Drama	N/A	http://www.imdb.com/title/tt0041452/
148		96.2000013	Ordet (Danish)	1955	Drama	N/A	http://www.imdb.com/title/tt0048452/
149		96.20000081	Pepe Le Moko (French)	1937	Crime Drama	N/A	http://www.imdb.com/title/tt0029453/
150		96.20000064	Simon of the Desert (Mexican)	1965	Comedy	N/A	http://www.imdb.com/title/tt0059719/
151	94	96.20000057	Body and Soul	1947	Drama	N/A	http://us.imdb.com/title/tt0039204/
152		96.20000039	A Nous la Libert� (French)	1931	Comedy	N/A	http://www.imdb.com/title/tt0022599/
153		96.20000038	La Terra Trema (Italian)	1947	Drama	N/A	http://www.imdb.com/title/tt0040866/
154	95	96.20000007	When Comedy Was King	1960	Comedy	N/A	http://www.imdb.com/title/tt0054468/
155	96	96.10200575	The Last Picture Show	1971	Drama	R	http://www.imdb.com/title/tt0067328/
156	97	96.07301367	Bonnie and Clyde	1967	Crime Drama	M	http://www.imdb.com/title/tt0061418/
157	98	96.06401426	Midnight Cowboy	1969	Drama	R	http://us.imdb.com/title/tt0064665/
158	99	96.0570113	King Kong	1933	Thriller	N/A	http://www.imdb.com/title/tt0024216/
159	100	96.04800634	From Here to Eternity	1953	War Drama	N/A	http://www.imdb.com/title/tt0045793/
160	101	96.00300751	In the Heat of the Night	1967	Crime Drama	N/A	http://us.imdb.com/title/tt0061811/
161	102	96.00300533	Koyaanisqatsi	1983	Documentary	N/A	http://www.imdb.com/title/tt0085809/
162		96.00300461	A Man for All Seasons (British)	1966	Biography	G	http://www.imdb.com/title/tt0060665/
163	103	96.00300036	The Freshman (Silent)	1925	Comedy	N/A	http://www.imdb.com/title/tt0015841/
164	104	96.00001379	All the President's Men	1976	Drama	R	http://www.imdb.com/title/tt0074119/
165		96.00000869	The 39 Steps (British)	1935	Suspense	N/A	http://www.imdb.com/title/tt0026029/
166	105	96.00000867	The Quiet Man	1952	Comedy-Drama	N/A	http://www.imdb.com/title/tt0045061/
167		96.00000816	Potemkin (Russian Silent)	1925	War Drama	N/A	http://www.imdb.com/title/tt0015648/
168		96.00000549	The Barbarian Invasions (Canadian-French)	2003	Drama	R	http://www.imdb.com/title/tt0338135/
169	106	96.00000421	Mister Roberts	1955	Comedy-Drama	N/A	http://www.imdb.com/title/tt0048380/
170	107	96.00000419	Anatomy of a Murder	1959	Crime Drama	N/A	http://www.imdb.com/title/tt0052561/
171	108	96.00000394	The Magnificent Ambersons	1942	Drama	N/A	http://www.imdb.com/title/tt0035015/
172		96.00000384	A Christmas Carol (British)	1951	Fantasy	N/A	http://www.imdb.com/title/tt0044008/
173		96.00000319	The Discreet Charm of the Bourgeoisie (French)	1972	Comedy	PG	http://www.imdb.com/title/tt0068361/
174		96.00000297	Nowhere in Africa (German)	2001	Drama	R	http://www.imdb.com/title/tt0161860/
175	109	96.00000271	My Darling Clementine	1946	Western	N/A	http://www.imdb.com/title/tt0038762/
176	110	96.0000026	In Cold Blood	1967	Crime Drama	R	http://www.imdb.com/title/tt0061809/
177		96.00000249	Great Expectations (British)	1946	Drama	N/A	http://www.imdb.com/title/tt0038574/
178	111	96.0000024	Top Hat	1935	Musical	N/A	http://www.imdb.com/title/tt0027125/
179		96.00000199	Open City (Italian)	1945	War Drama	N/A	http://www.imdb.com/title/tt0038890/
180		96.00000172	Rififi (French)	1955	Crime Drama	N/A	http://www.imdb.com/title/tt0048021/
181	112	96.0000017	Becket	1964	Drama	N/A	http://www.imdb.com/title/tt0057877/
182	113	96.0000016	Intolerance (Silent)	1916	Drama	N/A	http://www.imdb.com/title/tt0006864/
183		96.00000114	Every Man for Himself and God Against All (German)	1974	Drama	N/A	http://www.imdb.com/title/tt0071691/
184	114	96.00000052	The Good Earth	1937	Drama	N/A	http://www.imdb.com/title/tt0028944/
185	115	96.0000005	Twentieth Century	1934	Comedy	N/A	http://www.imdb.com/title/tt0025919/
186		96.00000048	Room at the Top (British)	1959	Drama	N/A	http://www.imdb.com/title/tt0053226/
187		96.00000048	S�ance on a Wet Afternoon (British)	1964	Crime Drama	N/A	http://www.imdb.com/title/tt0058557/
188		96.0000004	Fox and His Friends (German)	1975	Drama	N/A	http://www.imdb.com/title/tt0072976/
189	116	96.00000038	Ruggles of Red Gap	1935	Comedy	N/A	http://www.imdb.com/title/tt0026955/
190		96.00000034	Earth (Russian Silent)	1930	Drama	N/A	http://www.imdb.com/title/tt0021571/
191		96.00000027	Green for Danger (British)	1946	Mystery	N/A	http://www.imdb.com/title/tt0038577/
192		96.00000025	The Way to the Stars (British)	1945	War Drama	N/A	http://www.imdb.com/title/tt0038238/
193		96.00000018	Princess Yang Kwei Fei (Japanese)	1955	Drama	N/A	http://www.imdb.com/title/tt0048820/
194	117	96.00000015	The Docks of New York (Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0018839/
195	118	96.00000013	For Heaven's Sake (Silent)	1926	Comedy	N/A	http://www.imdb.com/title/tt0016895/
196	119	96.00000007	Say Amen, Somebody	1982	Documentary	G	http://www.imdb.com/title/tt0086245/
197	120	96.00000004	4 Clowns	1970	Compilation	G	http://www.imdb.com/title/tt0146398/
198	121	95.90201318	Rosemary's Baby	1968	Thriller	R	http://us.imdb.com/title/tt0063522/
199	122	95.90200692	The Thin Man	1934	Mystery	N/A	http://www.imdb.com/title/tt0025878/
200	123	95.90200285	How Green Was My Valley	1941	Drama	N/A	http://www.imdb.com/title/tt0033729/
201	124	95.90200246	Mr. Deeds Goes to Town	1936	Comedy-Drama	N/A	http://www.imdb.com/title/tt0027996/
202	125	95.87504709	E.T. The Extra-Terrestrial	1982	Science Fiction	PG	http://us.imdb.com/title/tt0083866/
203	126	95.85101533	Snow White and the Seven Dwarfs	1937	Musical	G	http://www.imdb.com/title/tt0029583/
204	127	95.8440156	MASH	1970	War Drama	R	http://www.imdb.com/title/tt0066026/
205	128	95.8410119	Rebel Without a Cause	1955	Drama	N/A	http://www.imdb.com/title/tt0048545/
206	129	95.83100599	Shane	1953	Western	N/A	http://www.imdb.com/title/tt0046303/
207	130	95.83001277	The French Connection	1971	Crime Drama	R	http://www.imdb.com/title/tt0067116/
208	131	95.82700362	Wuthering Heights	1939	Drama	N/A	http://www.imdb.com/title/tt0032145/
209	132	95.82503048	Dances With Wolves	1990	Western	PG-13	http://us.imdb.com/title/tt0099348/
210	133	95.81400273	Mutiny on the Bounty	1935	Adventure	N/A	http://www.imdb.com/title/tt0026752/
211	134	95.80300486	East of Eden	1955	Drama	N/A	http://us.imdb.com/title/tt0048028/
212	135	95.80100354	Yankee Doodle Dandy	1942	Musical	N/A	http://www.imdb.com/title/tt0035575/
213	136	95.8000343	The Untouchables	1987	Crime Drama	R	http://www.imdb.com/title/tt0094226/
214	137	95.80001338	The Motorcycle Diaries (U.S.-British-Argentinian)	2004	Biography	R	http://www.imdb.com/title/tt0318462/
215	138	95.80000723	Ordinary People	1980	Drama	R	http://us.imdb.com/title/tt0081283/
216	139	95.80000483	The Caine Mutiny	1954	Drama	N/A	http://www.imdb.com/title/tt0046816/
217		95.80000396	Kagemusha (Japanese)	1980	Action	PG	http://www.imdb.com/title/tt0080979/
218	140	95.80000391	Nashville	1975	Drama	R	http://us.imdb.com/title/tt0073440/
219	141	95.80000274	One, Two, Three	1961	Comedy	N/A	http://us.imdb.com/title/tt0055256/
220	142	95.80000263	Hud	1963	Western	N/A	http://www.imdb.com/title/tt0057163/
221		95.80000187	Black Narcissus (British)	1947	Drama	N/A	http://www.imdb.com/title/tt0039192/
222		95.80000173	Oliver Twist (British)	1948	Crime Drama	N/A	http://www.imdb.com/title/tt0040662/
223		95.80000138	Stray Dog (Japanese)	1949	Crime Drama	N/A	http://www.imdb.com/title/tt0041699/
224		95.80000129	Smiles of a Summer Night (Swedish)	1955	Comedy-Drama	N/A	http://www.imdb.com/title/tt0048641/
225	143	95.80000125	The Sea Hawk	1940	Adventure	N/A	http://www.imdb.com/title/tt0033028/
226	144	95.80000125	Swing Time	1936	Musical	N/A	http://www.imdb.com/title/tt0028333/
227		95.80000111	Dead of Night (British)	1945	Thriller	N/A	http://www.imdb.com/title/tt0037635/
228		95.80000104	Pandora's Box (German Silent)	1928	Drama	N/A	http://www.imdb.com/title/tt0018737/
229	145	95.80000103	Queen Christina	1933	Biography	N/A	http://www.imdb.com/title/tt0024481/
230	146	95.80000096	Our Hospitality (Silent)	1923	Comedy	N/A	http://www.imdb.com/title/tt0014341/
231		95.80000094	I Vitelloni (Italian)	1953	Comedy-Drama	N/A	http://www.imdb.com/title/tt0046521/
232	147	95.8000009	A Tale of Two Cities	1935	Adventure	N/A	http://www.imdb.com/title/tt0027075/
233	148	95.80000074	Libeled Lady	1936	Comedy	N/A	http://www.imdb.com/title/tt0027884/
234	149	95.80000061	Hail the Conquering Hero	1944	Comedy	N/A	http://www.imdb.com/title/tt0036891/
235	150	95.80000059	The Search	1948	War Drama	N/A	http://www.imdb.com/title/tt0040765/
236		95.80000052	The Earrings of Madame de... (French-Italian)	1953	Drama	N/A	http://www.imdb.com/title/tt0046022/
237	151	95.80000048	Sounder	1972	Drama	G	http://www.imdb.com/title/tt0069303/
238		95.8000004	Lacombe, Lucien (French)	1974	War Drama	R	http://www.imdb.com/title/tt0071733/
239	152	95.80000036	These Three	1936	Drama	N/A	http://www.imdb.com/title/tt0028356/
240	153	95.80000014	Best Boy	1979	Documentary	N/A	http://www.imdb.com/title/tt0078850/
241		95.80000013	Fist in His Pocket (Italian)	1966	Drama	N/A	http://www.imdb.com/title/tt0059619/
242		95.80000009	The Night My Number Came Up (British)	1955	Suspense	N/A	http://www.imdb.com/title/tt0047278/
243	154	95.80000003	John F. Kennedy: Years of Lightning, Day of Drums	1964	Biography	N/A	http://www.imdb.com/title/tt0060562/
244	155	95.70200173	The Killers	1946	Crime Drama	N/A	http://www.imdb.com/title/tt0038669/
245	156	95.65901754	West Side Story	1961	Musical	N/A	http://us.imdb.com/title/tt0055614/
246	157	95.63602808	Close Encounters of the Third Kind	1977	Science Fiction	PG	http://us.imdb.com/title/tt0075860/
247	158	95.60301541	Deliverance	1972	Adventure	R	http://us.imdb.com/title/tt0068473/
248		95.60300359	Repulsion (British)	1965	Drama	N/A	http://www.imdb.com/title/tt0059646/
249		95.60300113	Pygmalion (British)	1938	Comedy	N/A	http://www.imdb.com/title/tt0030637/
250		95.60000673	A Hard Day's Night (British)	1964	Musical	G	http://www.imdb.com/title/tt0058182/
251	159	95.6000034	Paper Moon	1973	Comedy	PG	http://www.imdb.com/title/tt0070510/
252	160	95.60000256	The Court Jester	1956	Comedy	N/A	http://www.imdb.com/title/tt0049096/
253	161	95.60000256	The Last Waltz	1978	Documentary	PG	http://www.imdb.com/title/tt0077838/
254	162	95.6000023	Twelve O'Clock High	1949	War Drama	N/A	http://www.imdb.com/title/tt0041996/
255	163	95.60000229	Stop Making Sense	1984	Concert	N/A	http://www.imdb.com/title/tt0088178/
256		95.60000203	The Thief of Bagdad (British)	1940	Fantasy	N/A	http://www.imdb.com/title/tt0033152/
257		95.60000186	Alexander Nevsky (Russian)	1938	War Drama	N/A	http://www.imdb.com/title/tt0029850/
258		95.60000182	Play Time (French)	1967	Comedy	N/A	http://www.imdb.com/title/tt0062136/
259		95.60000133	O Lucky Man! (British)	1973	Drama	R	http://www.imdb.com/title/tt0070464/
260		95.6000013	L'Atalante (French)	1934	Fantasy	N/A	http://www.imdb.com/title/tt0024844/
261		95.60000108	Pixote (Brazilian)	1981	Crime Drama	R	http://www.imdb.com/title/tt0082912/
262		95.60000106	Scenes from a Marriage (Swedish)	1973	Drama	PG	http://www.imdb.com/title/tt0070644/
263	164	95.60000096	Of Mice and Men	1939	Drama	N/A	http://www.imdb.com/title/tt0031742/
264	165	95.6000009	Here Comes Mr. Jordan	1941	Fantasy	N/A	http://www.imdb.com/title/tt0033712/
265		95.60000089	I Know Where I'm Going! (British)	1945	Drama	N/A	http://www.imdb.com/title/tt0037800/
266		95.60000084	The Loneliness of the Long Distance Runner (British)	1962	Drama	N/A	http://www.imdb.com/title/tt0056194/
267		95.6000008	Two Women (Italian)	1960	Drama	N/A	http://www.imdb.com/title/tt0054749/
268		95.60000078	Zero for Conduct (French)	1933	Drama	N/A	http://www.imdb.com/title/tt0024803/
269	166	95.60000078	It's a Gift	1934	Comedy	N/A	http://www.imdb.com/title/tt0025318/
270	167	95.60000072	Long Day's Journey Into Night	1962	Drama	N/A	http://www.imdb.com/title/tt0056196/
271		95.60000048	In Which We Serve (British)	1942	War Drama	N/A	http://www.imdb.com/title/tt0034891/
272		95.60000022	Man of Aran (British)	1934	Documentary	N/A	http://www.imdb.com/title/tt0025456/
273	168	95.60000018	The Student Prince in Old Heidelberg (Silent)	1927	Drama	N/A	http://www.imdb.com/title/tt0018451/
274		95.60000007	Harvest (French)	1937	Drama	N/A	http://www.imdb.com/title/tt0028980/
275	169	94.60000006	Days of Thrills and Laughter	1961	Documentary	N/A	http://www.imdb.com/title/tt0054791/
