position	rank	score	title	year	genre	mpaa	imdb
1630	1016	83.80000198	Swiss Family Robinson	1960	Family	G	http://www.imdb.com/title/tt0054357/
1631	1017	83.80000126	The Panic in Needle Park	1971	Crime Drama	PG	http://www.imdb.com/title/tt0067549/
1632	1018	83.80000113	House of Usher	1960	Horror	N/A	http://www.imdb.com/title/tt0053925/
1633	1019	83.80000101	The Masque of the Red Death	1964	Horror	N/A	http://www.imdb.com/title/tt0075213/
1634	1020	83.800001	Night Moves	1975	Crime Drama	R	http://www.imdb.com/title/tt0073453/
1635		83.80000083	Born Free (British)	1966	Drama	PG	http://www.imdb.com/title/tt0060182/
1636	1021	83.8000008	Treasure Island	1950	Adventure	PG	http://www.imdb.com/title/tt0043067/
1637	1022	83.8000008	The World of Henry Orient	1964	Comedy	N/A	http://www.imdb.com/title/tt0058756/
1638	1023	83.8000007	Choose Me	1984	Comedy-Drama	R	http://www.imdb.com/title/tt0087054/
1639		83.80000063	Bad Timing: A Sensual Obsession (British)	1980	Drama	R	http://www.imdb.com/title/tt0080408/
1640		83.80000061	Two or Three Things I Know About Her (French)	1967	Drama	N/A	http://www.imdb.com/title/tt0060304/
1641		83.80000053	Kadosh (Israeli)	1999	Drama	N/A	http://www.imdb.com/title/tt0189630/
1642	1024	83.80000045	Going in Style	1979	Crime Drama	PG	http://www.imdb.com/title/tt0079219/
1643	1025	83.80000045	Son of Paleface	1952	Comedy	N/A	http://www.imdb.com/title/tt0045177/
1644		83.80000042	Lumumba (French-Belgian-German-Haitian)	2000	Biography	N/A	http://www.imdb.com/title/tt0246765/
1645	1026	83.80000039	The Chosen	1981	Drama	PG	http://www.imdb.com/title/tt0082175/
1646		83.80000035	A Handful of Dust (British)	1988	Drama	PG	
1647	1027	83.80000032	Rancho Deluxe	1975	Western	R	http://us.imdb.com/title/tt0073605/
1648		83.8000003	Rider on the Rain (French)	1970	Suspense	PG	http://www.imdb.com/title/tt0064791/
1649	1028	83.80000029	Who's Minding the Mint?	1967	Comedy	N/A	http://www.imdb.com/title/tt0062490/
1650	1029	83.80000025	Last Summer	1969	Drama	R	http://www.imdb.com/title/tt0064573/
