Cutthroat Island
John Carter
The Alamo
The Adventures of Pluto Nash
Sahara
Mars Needs Moms
The 13th Warrior
Town & Country
Speed Racer
Heaven's Gate
Stealth
Green Lantern
Final Fantasy: The Spirits Within
The Fall of the Roman Empire
Supernova
Battlefield Earth
Inchon
Raise the Titanic
Treasure Planet
Ballistic: Ecks vs. Sever
The Postman
Red Planet
K-19: The Widowmaker
Monkeybone
Lolita
Windtalkers
Dudley Do-Right
The Adventures of Rocky & Bullwinkle
Soldier
Gigli
Around the World in 80 Days
Ishtar
Hudson Hawk
Beloved
A Sound of Thunder
Hart's War
Osmosis Jones
The Nutcracker in 3D
Land of the Lost
Krull
The Astronaut's Wife
The Adventures of Baron Munchausen
How Do You Know
Jack Frost
The Cotton Club
Hard Rain
Fathers' Day
Pirates
Lucky Numbers
Holy Man
Love Affair
Catwoman
The Out-of-Towners
Instinct
Doctor Dolittle
Edtv
Virus
In the Name of the King: A Dungeon Siege Tale
Jade
One from the Heart
Revolution
Get Carter
Wyatt Earp
1492: Conquest of Paradise
Gods and Generals
The Last Castle
The Garbage Pail Kids Movie
Mad City
Rollerball
3000 Miles to Graceland
Havana
Honky Tonk Freeway
Mighty Joe Young
Jakob the Liar
The Bonfire of the Vanities
The Legend of Bagger Vance
The Scarlet Letter
The House of the Spirits
The Fan
Nothing But Trouble
Death to Smoochy
True Crime
Meet Dave
Bringing Out the Dead
The Molly Maguires
Christopher Columbus: The Discovery
All the King's Men
Lucky You
Ride with the Devil
Strange Days
The Core
Titan A.E.
Driven
North
I Spy
Can't Stop the Music
Son of the Mask
Mary Reilly
Scott Pilgrim vs. the World
BloodRayne
Bulletproof Monk
Stay
Rock Star
At First Sight
Texas Rangers
Flyboys
The Mod Squad
Man on the Moon
Mystery Men
Gone Fishin'
Lost Horizon
Meteor
Outlander
Supergirl
Looney Tunes: Back in Action
Cradle Will Rock
Timeline
The Majestic
The Blue Bird
Zathura: A Space Adventure
Deep Rising
Little Nemo: Adventures in Slumberland
Nomad: The Warrior
Old Gringo
Heaven & Earth
Conan the Barbarian
Super Mario Bros.
Yes
Delgo
Alexander
Fire Down Below
The Whole Ten Yards
Warriors of Virtue
Impostor
Cats Don't Dance
White Squall
Last Action Hero
Big Trouble
Santa Claus
Street Fighter: The Legend of Chun-Li
City of Ember
Legend
Leonard Part 6
Jonah Hex
Miracle at St. Anna
Sorcerer
Roar
Until the End of the World
The Relic
Extreme Ops
A Troll in Central Park
The Pebble and the Penguin
Fair Game
Basic Instinct 2
Little Nicky
The Big Year
Sphere
Exorcist: The Beginning
The Meteor Man
Thunderbirds
New York Minute
Tekken
Universal Soldier: The Return
Imagine That
Kull the Conqueror
Megaforce
A Stranger Among Us
Pushing Tin
The Missing
The Phantom
The Stupids
Baby's Day Out
Mixed Nuts
The Black Cauldron
The Warrior's Way
Toys
Psycho
Glitter
Domino
Larger Than Life
Color of Night
Josie and the Pussycats
Twilight
Envy
Shanghai Surprise
Trespass
The Spirit
The Avengers
Alfie
Extreme Measures
FeardotCom
